dataset,fold,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
monkone,5,0.721,0.56,0.667,0.748,0.748,0.213,0.371,0.306,0.135,0.372,0.194,0.126,0.813,0.988,0.982,0.52,0.96,0.022,0.022,1.0,0.0,0.0
monkone,6,0.716,0.546,0.667,0.766,0.766,0.202,0.345,0.284,0.137,0.387,0.234,0.133,0.824,0.99,0.983,0.521,0.953,0.022,0.022,1.0,0.0,0.0
monkone,7,0.621,0.437,0.667,0.741,0.741,0.173,0.309,0.234,0.115,0.361,0.173,0.158,0.752,0.986,0.982,0.531,0.961,0.022,0.022,1.0,0.0,0.0
monkone,8,0.694,0.508,0.667,0.766,0.766,0.18,0.327,0.291,0.126,0.366,0.198,0.14,0.748,0.988,0.982,0.484,0.957,0.022,0.022,1.0,0.0,0.0
monkone,9,0.645,0.461,0.667,0.741,0.741,0.175,0.324,0.237,0.117,0.369,0.194,0.104,0.77,0.989,0.982,0.509,0.952,0.022,0.022,1.0,0.0,0.0
phoneme,0,0.792,0.383,0.261,0.87,0.851,0.128,0.241,0.212,0.073,0.221,0.115,0.178,0.334,0.979,0.959,0.365,0.874,0.002,0.002,1.0,0.127,0.291
phoneme,1,0.813,0.387,0.373,0.881,0.868,0.127,0.254,0.218,0.076,0.212,0.123,0.181,0.34,0.977,0.96,0.372,0.886,0.002,0.002,1.0,0.127,0.291
phoneme,2,0.817,0.396,0.328,0.866,0.853,0.132,0.244,0.215,0.075,0.21,0.118,0.172,0.322,0.973,0.959,0.369,0.878,0.002,0.002,1.0,0.127,0.291
phoneme,3,0.787,0.374,0.252,0.882,0.863,0.122,0.255,0.225,0.075,0.218,0.122,0.19,0.336,0.979,0.96,0.369,0.883,0.002,0.002,1.0,0.127,0.291
phoneme,4,0.822,0.398,0.273,0.861,0.843,0.13,0.251,0.216,0.071,0.226,0.118,0.189,0.343,0.981,0.959,0.366,0.879,0.002,0.002,1.0,0.127,0.291
phoneme,5,0.782,0.373,0.282,0.868,0.849,0.125,0.244,0.211,0.074,0.208,0.128,0.165,0.33,0.972,0.959,0.371,0.879,0.002,0.002,1.0,0.127,0.291
phoneme,6,0.797,0.383,0.264,0.873,0.855,0.127,0.244,0.211,0.075,0.217,0.115,0.188,0.336,0.977,0.957,0.363,0.877,0.002,0.002,1.0,0.127,0.291
phoneme,7,0.808,0.389,0.264,0.876,0.86,0.129,0.249,0.221,0.075,0.218,0.119,0.182,0.347,0.978,0.959,0.367,0.873,0.002,0.002,1.0,0.127,0.291
phoneme,8,0.802,0.385,0.309,0.878,0.854,0.129,0.245,0.229,0.078,0.222,0.123,0.177,0.343,0.978,0.959,0.368,0.875,0.002,0.002,1.0,0.127,0.291
phoneme,9,0.803,0.386,0.282,0.871,0.855,0.126,0.25,0.217,0.074,0.212,0.117,0.163,0.327,0.977,0.96,0.371,0.884,0.002,0.002,1.0,0.127,0.291
pima,0,0.621,0.329,0.341,0.987,0.938,0.178,0.234,0.216,0.173,0.401,0.349,0.214,0.669,0.986,0.931,0.489,0.799,0.021,0.005,0.25,0.067,0.167
pima,1,0.664,0.348,0.154,0.885,0.82,0.2,0.214,0.193,0.156,0.398,0.328,0.229,0.701,0.988,0.951,0.587,0.815,0.021,0.008,0.375,0.067,0.167
pima,2,0.674,0.345,0.204,0.966,0.906,0.162,0.227,0.154,0.184,0.398,0.372,0.211,0.659,0.985,0.944,0.561,0.817,0.021,0.008,0.375,0.067,0.167
pima,3,0.61,0.335,0.293,0.951,0.927,0.229,0.208,0.164,0.177,0.403,0.349,0.227,0.695,0.987,0.936,0.508,0.794,0.021,0.005,0.25,0.067,0.167
pima,4,0.615,0.31,0.135,0.932,0.885,0.119,0.198,0.159,0.168,0.4,0.357,0.237,0.688,0.987,0.942,0.56,0.81,0.021,0.008,0.375,0.067,0.167
